id,title,link,year,duration,rating_mpa,rating_imdb,vote,budget,gross_world_wide,gross_us_canada,gross_opening_weekend,director,writer,star,genre,country_origin,filming_location,production_company,language,win,nomination,oscar
tt0073470,Strip Nude for Your Killer,https://www.imdb.com/title/tt0073470,1975,1h 38m,Not Rated,5.6,33000,,,,,Andrea Bianchi,"Andrea Bianchi, Massimo Felisatti","Edwige Fenech, Nino Castelnuovo, Femi Benussi","Erotic Thriller, Giallo, Slasher Horror, Horror, Mystery, Thriller",Italy,"Milan, Lombardia, Italy",FRAL Cinematografica,Italian,0,0,0
tt0072764,Carry on Behind,https://www.imdb.com/title/tt0072764,1975,1h 30m,Not Rated,5.6,31000,,,,,Gerald Thomas,Dave Freeman,"Elke Sommer, Kenneth Williams, Bernard Bresslaw","Parody, Slapstick, Comedy",United Kingdom,"Bad Godesberg Way, Maidenhead, Berkshire, England, UK","The Rank Organisation, Peter Rogers Productions",English,0,0,0
tt0131526,"So Young, So Lovely, So Vicious...",https://www.imdb.com/title/tt0131526,1975,1h 30m,,4.9,487,,,,,Silvio Amadio,"Silvio Amadio, Roberto Natale","Gloria Guida, Dagmar Lassander, Fred Robsahm","Drama, Mystery, Thriller",Italy,"Sardinia, Italy",Domiziana Internazionale Cinematografica,Italian,0,0,0
tt0073335,Mahogany,https://www.imdb.com/title/tt0073335,1975,1h 49m,PG,6.1,23000,,,5000000,,"Berry Gordy, Tony Richardson, Jack Wormser","John Byrum, Toni Amber","Diana Ross, Billy Dee Williams, Anthony Perkins","Drama, Romance",United States,"Marshall Field  Co Department Store  111 N State Street, The Loop, Downtown, Chicago, Illinois, USA","Motown Productions, Nikor Productions, Paramount Pictures","English, Italian",0,0,1
tt0073006,Foreplay,https://www.imdb.com/title/tt0073006,1975,1h 15m,R,4,185,,,,,"John G Avildsen, Bruce Malmuth, Robert McCarty","Dan Greenburg, Jack Richardson, Bruce Jay Friedman","Irwin Corey, Pat Paulsen, Deborah Loomis","Parody, Satire, Sketch Comedy, Comedy",United States,,SynFrank Enterprises,English,0,0,0
tt0073343,The Man from Hong Kong,https://www.imdb.com/title/tt0073343,1975,1h 46m,R,6.6,2000,535000,684,,,"Brian TrenchardSmith, Jimmy Wang Yu",Brian TrenchardSmith,"Jimmy Wang Yu, George Lazenby, Hugh KeaysByrne","Action, Adventure, Crime, Drama","Australia, Hong Kong","Stanwell Park, New South Wales, Australia","Golden Harvest Company, The Movie Company Pty Ltd, Paragon Films Ltd","English, Mandarin",0,0,0
tt0073461,Night of the Seagulls,https://www.imdb.com/title/tt0073461,1975,1h 29m,R,5.7,23000,,,,,Amando de Ossorio,"HP Lovecraft, Amando de Ossorio","Vctor Petit, Mara Kosty, Sandra Mozarowsky",Horror,Spain,"Tossa de Mar, Girona, Catalonia, Spain","Ancla Century Films, Profilmes, Prez Pareja, M Flor",Spanish,0,0,0
tt0073482,The Olsen Gang on the Track,https://www.imdb.com/title/tt0073482,1975,1h 45m,Not Rated,7.2,22000,,,,,Erik Balling,"Erik Balling, Henning Bahs","Ove Sproge, Morten Grunwald, Poul Bundgaard","Comedy, Crime, Family",Denmark,"Asta Nielsen Strdet, Valby, Copenhagen, Denmark",Nordisk Film,Danish,0,0,0
tt0073208,A Woman Called Sada Abe,https://www.imdb.com/title/tt0073208,1975,1h 25m,,6.1,626,,,,,Noboru Tanaka,Akio Ido,"Junko Miyashita, Eimei Esumi, Gensh Hanayagi","Biography, Drama",Japan,,Nikkatsu,Japanese,0,0,0
tt0360231,Zinda Dil,https://www.imdb.com/title/tt0360231,1975,2h 5m,,6.9,69,,,,,Sikandar Khanna,KD Shorey,"Rishi Kapoor, Neetu Singh, Zaheera","Action, Romance",India,,NH Studioz,Hindi,0,0,0
tt0073121,Disciples of Shaolin,https://www.imdb.com/title/tt0073121,1975,1h 46m,R,6.6,480,,,,,Cheh Chang,"Cheh Chang, Kuang Ni","Sheng Fu, KuanChun Chi, Chen MingLi","Martial Arts, Action, Drama","Hong Kong, Taiwan",,"Changs Film Company, Shaw Brothers",Mandarin,0,0,0
tt0076489,"Oh, God!",https://www.imdb.com/title/tt0076489,1977,1h 38m,PG,6.6,11000,,41687243,41687243,2040920,Carl Reiner,"Larry Gelbart, Avery Corman","John Denver, George Burns, Teri Garr","Comedy, Fantasy",United States,"Riverside Drive and Main Street, Burbank, California, USA",Warner Bros,"English, Spanish",0,3,1
tt0076138,Heroes,https://www.imdb.com/title/tt0076138,1977,1h 52m,PG,6,22000,3200000,33500000,33500000,,Jeremy Kagan,"James Carabatsos, David Freeman","Henry Winkler, Sally Field, Harrison Ford","Psychological Drama, Comedy, Drama",United States,"Times Square Army Recruiting Station, Manhattan, New York City, New York, USA","David Foster Productions, Universal Pictures","English, Spanish",0,0,0
tt0076591,"Race for Your Life, Charlie Brown",https://www.imdb.com/title/tt0076591,1977,1h 16m,G,7.2,41000,,3223888,3223888,,"Bill Melendez, Phil Roman",Charles M Schulz,"Duncan Watson, Greg Felton, Stuart Brotman","HandDrawn Animation, Quest, Adventure, Animation, Comedy, Family",United States,,"Lee Mendelson Film Productions, Bill Melendez Productions, Charles M Schulz Creative Associates",English,0,0,0
tt0076706,Short Eyes,https://www.imdb.com/title/tt0076706,1977,1h 40m,R,7,16000,300000,3456,3456,2204,Robert M Young,Miguel Pinero,"Bruce Davison, Jos Prez, Nathan George",Drama,United States,"Manhattan, New York City, New York, USA",,English,0,0,0
tt0076734,Soldier of Orange,https://www.imdb.com/title/tt0076734,1977,2h 45m,R,7.6,14000,5000000,,,,Paul Verhoeven,"Erik Hazelhoff Roelfzema, Kees Holierhoek, Gerard Soeteman","Rutger Hauer, Jeroen Krabb, Susan Penhaligon","Drama, Romance, Thriller, War","Netherlands, Belgium","Noordwijk, ZuidHolland, Netherlands","Excelsior Films, Film Holland, Rob Houwer Productions","Dutch, English, German",0,2,0
tt0075669,Amar Akbar Anthony,https://www.imdb.com/title/tt0075669,1977,3h 4m,Not Rated,7.4,85000,,,,,Manmohan Desai,"Smt Jeevanprabha M Desai, Kader Khan, Prayag Raj","Vinod Khanna, Rishi Kapoor, Amitabh Bachchan","Action, Comedy, Drama, Music",India,"The Don Bosco School, Wadala, Mumbai, Maharashtra, India","Hirawat Jain and Company, MKD Films Combine, Manmohan Films",Hindi,0,0,0
tt0076388,"Messalina, Messalina",https://www.imdb.com/title/tt0076388,1977,1h 21m,Not Rated,4,323,,,,,Bruno Corbucci,"Mario Amendola, Bruno Corbucci","Anneka Di Lorenzo, Vittorio Caprioli, Giancarlo Prete","Parody, Adventure, Comedy",Italy,"Dear Studios, Rome, Lazio, Italy",Medusa Distribuzione,Italian,0,0,0
tt0075740,Beast with a Gun,https://www.imdb.com/title/tt0075740,1977,1h 31m,Unrated,5.9,13000,,,,,Sergio Grieco,"Sergio Grieco, Enzo Milioni","Helmut Berger, Marisa Mell, Richard Harrison","Action, Crime, Drama, Thriller",Italy,"ICET De Paolis, Via Volontari del Sangue, 12, 20093 Cologno Monzese MI, Italy","Rewind Film, Supercine",Italian,0,0,0
tt0076469,Porno Nights of the World,https://www.imdb.com/title/tt0076469,1977,1h 28m,,4,232,,,,,"Bruno Mattei, Joe DAmato",Bruno Mattei,"Laura Gemser, Marina Hedman, Fernando Arcangeli",Documentary,Italy,,Esagono Cinematografica,"Italian, English",0,0,0
tt0077319,Charleston,https://www.imdb.com/title/tt0077319,1977,1h 53m,PG,5.5,11000,,,,,Marcello Fondato,"Marcello Fondato, Francesco Scardamaglia","Bud Spencer, Herbert Lom, Jack La Cayenne",Comedy,Italy,,"Rizzoli Film, Delfo Cinematografica",Italian,0,0,0
tt0075956,Double Nickels,https://www.imdb.com/title/tt0075956,1977,1h 29m,PG,5,214,,,,,Jack Vacek,"Jack Vacek, Trice Schubert","Jack Vacek, Trice Schubert, Edward Abrahms","Police Procedural, Action, Comedy, Crime",United States,"Hollywood, Los Angeles, California, USA",Smokey Productions,English,0,0,0
tt0060862,The Professionals,https://www.imdb.com/title/tt0060862,1966,1h 57m,PG-13,7.3,19000,,,19537346,,Richard Brooks,"Frank ORourke, Richard Brooks","Burt Lancaster, Lee Marvin, Robert Ryan","Action, Adventure, Drama, Western",United States,"Valley of Fire State Park  Route 169, Overton, Nevada, USA",Pax Enterprises,"English, Spanish",0,9,3
tt0060355,Duel at Diablo,https://www.imdb.com/title/tt0060355,1966,1h 43m,Approved,6.5,44000,,,,,Ralph Nelson,"Marvin H Albert, Michael M Grilikhes","James Garner, Sidney Poitier, Bibi Andersson","Classical Western, Drama, Thriller, Western",United States,"Monument Valley, Arizona, USA","Cherokee Productions, Rainbow Releasing, Brien Productions",English,0,0,0
tt0060897,Return of the Seven,https://www.imdb.com/title/tt0060897,1966,1h 35m,Unrated,5.5,5000,,,6322000,,Burt Kennedy,Larry Cohen,"Yul Brynner, Robert Fuller, Julin Mateos","Action, Drama, Western","Spain, United States","Colmenar de Oreja, Madrid, Spain","The Mirisch Production Company, CB Films SA","English, Spanish, Greek, Ancient to 1453, Latin",0,0,1
